year,county,total_incidents,avg_monthly_rent
2022,Mayo,2850.0,758.3290909090908
2022,Meath,5337.0,1315.11125
2022,Roscommon,2791.0,777.5157142857144
2022,Sligo,2836.0,902.855
2022,Tipperary,5165.0,810.2466666666666
2022,Waterford,6285.0,1030.54125
2022,Westmeath,4035.0,942.2014285714286
2022,Wexford,4782.0,902.3188888888889
2022,Wicklow,4075.0,1398.1399999999999
2023,Cavan,4250.0,858.5022222222223
2023,Clare,3239.0,990.6928571428572
2023,Cork,18186.0,1193.8233333333333
2023,Donegal,4506.0,737.798888888889
2023,Dublin,9967.0,1966.001680672269
2023,Galway,8144.0,1226.9673684210527
2023,Kerry,4865.0,942.76
2023,Kildare,7956.0,1415.305625
2023,Kilkenny,4453.0,1048.2559999999999
2023,Laois,5655.0,996.72
2023,Limerick,9953.0,1257.815
2023,Louth,6154.0,1202.885
2023,Mayo,2616.0,839.2854545454545
2023,Meath,5679.0,1413.88875
2023,Roscommon,2871.0,882.1485714285715
2023,Sligo,2664.0,1005.145
2023,Tipperary,5340.0,875.5191666666666
2023,Waterford,6134.0,1121.5664285714286
2023,Westmeath,4287.0,1030.1657142857143
2023,Wexford,4689.0,990.8824999999999
2023,Wicklow,3969.0,1470.204
2024,Cavan,4014.0,964.9877777777778
2024,Clare,2963.0,1142.5985714285714
2024,Cork,18284.0,1306.8348387096773
2024,Donegal,4479.0,816.7855555555556
2024,Dublin,9965.0,2081.4297457627117
2024,Galway,7620.0,1360.9794444444444
2024,Kerry,4891.0,1055.29875
2024,Kildare,8243.0,1508.63875
2024,Kilkenny,4377.0,1128.4233333333334
2024,Laois,5673.0,1109.8700000000001
2024,Limerick,9881.0,1408.3616666666667
2024,Louth,6801.0,1298.53
2024,Mayo,2419.0,949.21
2024,Meath,5393.0,1518.45
2024,Roscommon,2761.0,993.3614285714285
2024,Sligo,2808.0,1111.80875
2024,Tipperary,5229.0,973.7400000000001
2024,Waterford,5801.0,1226.0144444444445
2024,Westmeath,4099.0,1118.8885714285714
2024,Wexford,5139.0,1092.02
2024,Wicklow,4357.0,1678.6169999999997
